,"ukr","en","NOTES – use \n for newline","max length"
"booktitle07","Emerald Tablet - volume VII","Emerald Tablet - volume VII","doesn't need to be translated",
"bookdesc07","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","doesn't need to be translated",
"booktitle08","Emerald Tablet - volume VIII","Emerald Tablet - volume VIII","doesn't need to be translated",
"bookdesc08","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","doesn't need to be translated",
"booktitle09","Emerald Tablet - volume IX","Emerald Tablet - volume IX","doesn't need to be translated",
"bookdesc09","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","doesn't need to be translated",
"booktitle10","Emerald Tablet - volume X","Emerald Tablet - volume X","doesn't need to be translated",
"bookdesc10","Take, he tells us, the stone of gold, combine with humour which is \npermanent water, set in its vessel, over a gentle fire until liquefaction \ntakes place. Then leave it until the water dries, and the sand and \nwater are combined, one with another; then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done, \nunderstand that here is the beginning of the arcanum; but do this many times,\nuntil two-thirds of the water perish, and colours manifest unto you.","Take, he tells us, the stone of gold, combine with humour which is \npermanent water, set in its vessel, over a gentle fire until liquefaction \ntakes place. Then leave it until the water dries, and the sand and \nwater are combined, one with another; then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done, \nunderstand that here is the beginning of the arcanum; but do this many times,\nuntil two-thirds of the water perish, and colours manifest unto you.","doesn't need to be translated",
"booktitle_corpse","Tabula Smaragdina","Tabula Smaragdina","doesn't need to be translated",
"bookdesc_corpse","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","doesn't need to be translated",
"booktitle_tree","Secretorum Hermetis","Secretorum Hermetis","doesn't need to be translated",
"bookdesc_tree","The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.","The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.","doesn't need to be translated",
"menu_paused","PAUSED","PAUSED",,
"menu_continue","Continue","Continue",,
"menu_options","Options","Options",,
"menu_stats","Stats","Stats",,
"menu_progress","Progress","Progress",,
"menu_releasenotes","Release Notes","Release Notes",,
"menu_credits","Credits","Credits",,
"menu_newgame","New Game","New Game",,
"menu_dailyrun","Daily Run","Daily Run",,
"menu_saveandquit","Save & Quit","Save & Quit",,
"menu_return","Return","Return",,
"menu_applyandreturn","Apply & Return","Apply & Return",,
"menu_cancel","Cancel","Cancel",,
"menu_yes","Yes","Yes",,
"menu_no","No","No",,
"menu_ok","Ok","Ok",,
"menu_high","High","High",,
"menu_medium","Medium","Medium",,
"menu_low","Low","Low",,
"option_on","On","On",,
"option_off","Off","Off",,
"option_adaptive","Adaptive","Adaptive",,
"menu_newgame_areyousure","Are you sure you want to start a new game? All progress from current run will be lost.","Are you sure you want to start a new game? All progress from current run will be lost.",,
"menuoptions_windowmode","Window mode: $0","Window mode: $0",,
"windowmode_windowed","Windowed","Windowed",,
"windowmode_fullscreen","Fullscreen (windowed)","Fullscreen (windowed)",,
"windowmode_fullscreen_real","Fullscreen (real)","Fullscreen (real)",,
"menuoptions_resolution","Resolution: $0","Resolution: $0",,
"menuoptions_resolution_illegible"," - WARNING: Might be illegible!"," - WARNING: Might be illegible!",,
"menuoptions_matchresolution","Use current display's resolution","Use current display's resolution",,
"menuoptions_applydisplay","Apply display settings","Apply display settings",,
"menuoptions_renderingquality","Rendering quality","Rendering quality",,
"menuoptions_lowqualityrendering","Low quality rendering: $0","Low quality rendering: $0",,
"menuoptions_vsync","Vsync: $0","Vsync: $0",,
"menuoptions_display_areyousure","Do you want to keep the new display settings? Old settings will be restored in $0 seconds.","Do you want to keep the new display settings? Old settings will be restored in $0 seconds.",,
"menuoptions_resetsave","Reset all progress","Reset all progress",,
"menuoptions_resetsave_areyousure","Are you sure you want to reset all progress? This cannot be undone!","Are you sure you want to reset all progress? This cannot be undone!",,
"menugameover_newgame","New Game","New Game",,
"menugameover_savereplay","Save death replay","Save death replay",,
"menugameover_quit","Quit","Quit",,
"menugameover_gamecompleted","COMPLETED THE GAME!","COMPLETED THE GAME!",,
"menugameover_nextbutton","You are dead - click here for stats","You are dead - click here for stats",,
"menugameover_records","RECORDS","RECORDS","as in 'world record'",
"menuoptions_pixelart_aa","Pixel art anti-aliasing: $0","Pixel art anti-aliasing: $0",,
"menuoptions_lowres","Low resolution rendering: $0","Low resolution rendering: $0",,
"menuoptions_lowres_tooltip_exp","EXPERIMENTAL. Might cause minor rendering glitches.","EXPERIMENTAL. Might cause minor rendering glitches.",,
"menuoptions_lowres_tooltip","Improves rendering performance, but might cause minor rendering glitches.","Improves rendering performance, but might cause minor rendering glitches.",,
"menuoptions_brightness","Brightness","Brightness",,
"menuoptions_contrast","Contrast","Contrast",,
"menuoptions_gamma","Gamma","Gamma",,
"menuoptions_reset_keyboard","Right click to reset to default.","Right click to reset to default.",,
"menuoptions_reset_gamepad","Press B to reset to default.","Press B to reset to default.",,
"menuoptions_musicvolume","Music volume","Music volume",,
"menuoptions_soundsvolume","Sound effect volume","Sound effect volume",,
"menuoptions_configurecontrols","Configure controls","Configure controls",,
"menuoptions_configurecontrols_reset_all","Reset all to default","Reset all to default",,
"menuoptions_configurecontrols_rebind_keyboard","Press the key or button for $0","Press the key or button for $0",,
"menuoptions_configurecontrols_rebind_gamepad","Press the button for $0","Press the button for $0",,
"menuoptions_controls","Gamepad: $0","Gamepad: $0",,
"menuoptions_mousesensitivity","Mouse sensitivity","Mouse sensitivity",,
"menuoptions_controls_keyboard","Mouse + Keyboard","Mouse + Keyboard",,
"menuoptions_controls_autodetectgamepad","Auto-detect","Auto-detect",,
"menuoptions_gamepad_rumble","Gamepad rumble intensity","Gamepad rumble intensity",,
"menuoptions_ui_inventory_icons_always_clickable","Click on icon switches item: $0","Click on icon switches item: $0",,
"menuoptions_application_rendered_cursor","Game renders the cursor: $0","Game renders the cursor: $0",,
"menuoptions_screenshake_intensity","Screen shake intensity","Screen shake intensity",,
"menuoptions_damagenumbers","Damage numbers: $0","Damage numbers: $0",,
"menuoptions_replayrecorder","Replay recorder: $0","Replay recorder: $0",,
"menuoptions_checkforupdates","Check for updates: $0","Check for updates: $0",,
"menuoptions_language","Language: English","Language: English",,
"menuupdatenotification_title","NEW UPDATE AVAILABLE","NEW UPDATE AVAILABLE",,
"menuupdatenotification_description_generic","A new build of Noita is now available!\nClick here for release notes","A new build of Noita is now available!\nClick here for release notes",,
"menureleasenotes_notavailable","No release notes available","No release notes available",,
"menureleasenotes_eawarning","Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.","Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.","PLACEHOLDER",
"controls_up","up","up",,
"controls_down","down","down",,
"controls_left","left","left",,
"controls_right","right","right",,
"controls_sprayflask","spray from potion","spray from potion",,
"controls_throw","throw","throw",,
"controls_kick","kick","kick",,
"controls_inventory","open/close inventory","open/close inventory",,
"controls_itemnext","next item","next item",,
"controls_itemprev","previous item","previous item",,
"controls_itemslot1","select item in slot 1","select item in slot 1",,
"controls_itemslot2","select item in slot 2","select item in slot 2",,
"controls_itemslot3","select item in slot 3","select item in slot 3",,
"controls_itemslot4","select item in slot 4","select item in slot 4",,
"controls_itemslot5","select item in slot 5","select item in slot 5",,
"controls_itemslot6","select item in slot 6","select item in slot 6",,
"controls_itemslot7","select item in slot 7","select item in slot 7",,
"controls_itemslot8","select item in slot 8","select item in slot 8",,
"controls_itemslot9","select item in slot 9","select item in slot 9",,
"controls_itemslot10","select item in slot 10","select item in slot 10",,
"controls_escape","pause/close","pause/close",,
"hud_air_unit","o2","o2",,
"hud_air","Air: $0 / $1","Air: $0 / $1",,
"hud_health","Health: $0 / $1","Health: $0 / $1",,
"hud_jetpack","Levitation energy: $0 / $1","Levitation energy: $0 / $1",,
"hud_wand_mana","Wand mana: $0 / $1","Wand mana: $0 / $1",,
"hud_wand_reload","Wand recharge: $0 s","Wand recharge: $0 s",,
"hud_gold","Gold: $0","Gold: $0",,
"hud_orbs","Orbs collected: $0","Orbs collected: $0",,
"hud_title_wands","WANDS","WANDS",,
"hud_title_throwables","ITEMS","ITEMS",,
"hud_title_actionstorage","SPELLS","SPELLS",,
"menu_newwand_title","NEW WAND","NEW WAND",,
"menu_newwand_pressagain_pick","Press $0 again to pick the wand","Press $0 again to pick the wand",,
"menu_newwand_pressagain_cancel","Press $0 to cancel","Press $0 to cancel",,
"menu_newwand_whichwand_gamepad","WHICH WAND DO YOU WANT TO DROP?","WHICH WAND DO YOU WANT TO DROP?",,
"menu_newwand_whichwand_keyboard","WHICH WAND DO YOU WANT TO DROP? (Click it!)","WHICH WAND DO YOU WANT TO DROP? (Click it!)",,
"menu_newwand_emptyslot","$0 - empty slot","$0 - empty slot",,
"menu_newbook_pressagain_pick","Press $0 again to pick the book","Press $0 again to pick the book",,
"menu_newbook_pressagain_close","Press $0 to close","Press $0 to close",,
"item_empty","Empty","Empty",,
"item_wand","Wand","Wand",,
"item_potion","Potion","Potion",,
"item_cocktail","Cocktail","Cocktail",,
"item_orb","Orb","Orb",,
"item_description_potion","Equip and throw","Equip and throw",,
"item_description_egg","Equip and throw","Equip and throw",,
"item_potion_with_material","$0 potion","$0 potion",,
"item_potion_fullness"," ($0% full)"," ($0% full)",,
"item_potion_empty","Empty","Empty",,
"item_egg","Egg","Egg",,
"item_chest_treasure","Treasure chest","Treasure chest",,
"item_goldnugget","Gold nugget","Gold nugget",,
"item_heart","Extra max HP","Extra max HP",,
"item_heart_better","Large extra max HP","Large extra max HP",,
"item_heart_fullhp","Full health regeneration","Full health regeneration",,
"item_unidentified","Unidentified item","Unidentified item",,
"itempickup_notenoughgold","Not enough gold to purchase '$0'","Not enough gold to purchase '$0'",,
"itempickup_purchase","Press $0 to purchase '$1'","Press $0 to purchase '$1'",,
"itempickup_pick","Press $0 to pick '$1'","Press $0 to pick '$1'",,
"itempickup_read","Press $0 to read '$1'","Press $0 to read '$1'",,
"itempickup_purchase_swap","Press $0 to purchase '$1' and swap an item with it","Press $0 to purchase '$1' and swap an item with it",,
"itempickup_pick_swap","Press $0 to swap an item with '$1'","Press $0 to swap an item with '$1'",,
"itempickup_cannotpick","Cannot pick '$0'. Please get rid of an item to make space for it","Cannot pick '$0'. Please get rid of an item to make space for it",,
"itempickup_cannotpick_closeinventory","Close the inventory first to pick '$0'","Close the inventory first to pick '$0'",,
"hint_editwands","Press $0 to tinker with wands","Press $0 to tinker with wands",,
"hint_endingmcguffin_use","Press $0 to complete the Work","Press $0 to complete the Work",,
"log_pickedup_perk","$0 ","$0 ",,
"log_pickedup","Picked up $0","Picked up $0",,
"log_equipped","Equipped $0","Equipped $0",,
"log_entered","Entered $0","Entered $0",,
"log_damage","Damage: $0","Damage: $0",,
"log_death","Death: $0","Death: $0",,
"log_teleported","Teleported!","Teleported!",,
"log_teleported_something","Something entered a teleport nearby","Something entered a teleport nearby",,
"log_gamefx_savinggrace","Saving Grace saved you!","Saving Grace saved you!",,
"log_gamefx_respawn","You get one more chance!","You get one more chance!",,
"logdesc_gamefx_respawn","Extra life saved you","Extra life saved you",,
"log_recharging","RECHARGING..","RECHARGING..",,
"log_blindness","Temporarily blinded!","Temporarily blinded!",,
"log_polymorph","Polymorphed!","Polymorphed!",,
"log_block_attack","BLOCK","BLOCK",,
"log_coop_resurrected","RESURRECTED","RESURRECTED",,
"log_coop_resurrected_player","Resurrected player $0!","Resurrected player $0!",,
"log_coop_partner_is_dead","Partner is dead!","Partner is dead!",,
"log_coop_started","CO-OP!","CO-OP!",,
"log_chest","Opened a treasure chest!","Opened a treasure chest!",,
"logdesc_chest_gold","You got $0 gold!","You got $0 gold!",,
"log_heart","Picked up Extra Max Health","Picked up Extra Max Health",,
"logdesc_heart","Increased maximum health to $0","Increased maximum health to $0",,
"logdesc_heart_blocked","Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!","Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!",,
"log_heart_better","Picked up Extra Max Health","Picked up Extra Max Health",,
"logdesc_heart_better","Increased maximum health to $0","Increased maximum health to $0",,
"log_heart_fullhp","Picked up Full Health Regeneration","Picked up Full Health Regeneration",,
"log_discovered","You have discovered $0","You have discovered $0",,
"inventory_sort","Sort","Sort",,
"inventory_shuffle","Shuffle","Shuffle",,
"inventory_shuffle_tooltip","Wands that shuffle cast their spells in random order.","Wands that shuffle cast their spells in random order.",,
"inventory_actionspercast","Spells/Cast","Spells/Cast",,
"inventory_actionspercast_tooltip","The number of spells this wand casts when used.","The number of spells this wand casts when used.",,
"inventory_castdelay","Cast delay","Cast delay",,
"inventory_castdelay_tooltip","The time between casts.","The time between casts.",,
"inventory_rechargetime","Rechrg. Time","Rechrg. Time",,
"inventory_rechargetime_tooltip","The time it takes for this wand to recharge when all spells inside it have been cast.","The time it takes for this wand to recharge when all spells inside it have been cast.",,
"inventory_manamax","Mana max","Mana max",,
"inventory_manamax_tooltip","Maximum amount of mana this wand can store.","Maximum amount of mana this wand can store.",,
"inventory_manachargespeed","Mana chg. Spd","Mana chg. Spd",,
"inventory_manachargespeed_tooltip","This wand's mana regeneration speed.","This wand's mana regeneration speed.",,
"inventory_capacity","Capacity","Capacity",,
"inventory_capacity_tooltip","The number of spells that can be inserted into this wand.","The number of spells that can be inserted into this wand.",,
"inventory_spread","Spread","Spread",,
"inventory_spread_tooltip","The directional deviation of projectiles casted by this wand.","The directional deviation of projectiles casted by this wand.",,
"inventory_chargecapacity","Charge capacity","Charge capacity",,
"inventory_alwayscasts","Always casts","Always casts",,
"inventory_alwayscasts_description","This wand casts some spells every time it's used.","This wand casts some spells every time it's used.",,
"inventory_usesremaining","Uses remaining","Uses remaining",,
"inventory_actiontype","Type","Type",,
"inventory_manadrain","Mana drain","Mana drain",,
"inventory_damage","Damage","Damage",,
"inventory_dmg_explosion","Dmg. Expl","Dmg. Expl",,
"inventory_explosion_radius","Expl. Radius","Expl. Radius",,
"inventory_dmg_slice","Dmg. Slice","Dmg. Slice",,
"inventory_dmg_drill","Dmg. Drill","Dmg. Drill",,
"inventory_dmg_fire","Dmg. Fire","Dmg. Fire",,
"inventory_dmg_ice","Dmg. Ice","Dmg. Ice",,
"inventory_speed","Speed","Speed",,
"inventory_mod_castdelay","Cast delay","Cast delay",,
"inventory_mod_rechargetime","Recharge time","Recharge time",,
"inventory_mod_bounces","Bounces","Bounces",,
"inventory_mod_speed","Proj. Speed","Proj. Speed",,
"inventory_mod_explosion_radius","Expl. Radius","Expl. Radius",,
"inventory_mod_spread","Spread","Spread",,
"inventory_mod_knockback","Knockback","Knockback",,
"inventory_mod_damage","Damage","Damage",,
"inventory_mod_damage_melee","Dmg. Melee","Dmg. Melee",,
"inventory_mod_damage_electric","Dmg. Electric","Dmg. Electric",,
"inventory_mod_damage_fire","Dmg. Fire","Dmg. Fire",,
"inventory_mod_damage_explosion","Dmg. Expl","Dmg. Expl",,
"inventory_mod_critchance","Crit. Chance","Crit. Chance",,
"inventory_warning_noactions","WARNING - This wand contains no spells","WARNING - This wand contains no spells",,
"inventory_warning_noactions_description","The wand doesn't do anything. Place some spells into the wand's slots.","The wand doesn't do anything. Place some spells into the wand's slots.",,
"inventory_warning_notenoughmana","WARNING - This wand doesn't have enough mana for $0","WARNING - This wand doesn't have enough mana for $0",,
"inventory_warning_notenoughmana_description","Wand has max $0 mana. Casting $1 requires $2 mana.","Wand has max $0 mana. Casting $1 requires $2 mana.",,
"inventory_info_frozen","INFO - This wand has been frozen","INFO - This wand has been frozen",,
"inventory_info_frozen_description","A spell prevents the wand from being customized.","A spell prevents the wand from being customized.",,
"inventory_seconds","$0 s","$0 s",,
"inventory_degrees","$0 DEG","$0 DEG",,
"inventory_actiontype_projectile","Projectile","Projectile",,
"inventory_actiontype_staticprojectile","Static proj.","Static proj.",,
"inventory_actiontype_modifier","Proj. modifier","Proj. modifier",,
"inventory_actiontype_drawmany","Multicast","Multicast",,
"inventory_actiontype_material","Material","Material",,
"inventory_actiontype_other","Other","Other",,
"inventory_actiontype_utility","Utility","Utility",,
"inventory_actiontype_passive","Passive","Passive",,
"item_spell_refresh","Spell refresher","Spell refresher",,
"itemtitle_spell_refresh","Picked up Spell refresher","Picked up Spell refresher",,
"itemdesc_spell_refresh","All spells refreshed","All spells refreshed",,
"itemtitle_wand_pickup","Picked up a new magic wand","Picked up a new magic wand",,
"itemtitle_chest_open","Opened a treasure chest!","Opened a treasure chest!",,
"itemtitle_chest_broken_open","A chest was broken open","A chest was broken open",,
"log_endcrystal","Touched the cursed crystal!","Touched the cursed crystal!",,
"logdesc_endcrystal","Something stirs above you","Something stirs above you",,
"logdesc_temple_spawn_guardian","You have angered the Gods","You have angered the Gods",,
"logdesc_gods_are_angry","You have angered the Gods","You have angered the Gods",,
"logdesc_gods_are_very_angry","The Gods are very angry with you","The Gods are very angry with you",,
"damage_projectile","projectile","projectile",,
"damage_electricity","electricity","electricity",,
"damage_explosion","explosion","explosion",,
"damage_fire","fire","fire",,
"damage_melee","melee","melee",,
"damage_drill","drill","drill",,
"damage_slice","slice","slice",,
"damage_ice","ice","ice",,
"damage_healing","healing","healing",,
"damage_physicshit","physics hit","physics hit",,
"damage_radioactive","toxic","toxic",,
"damage_poison","poison","poison",,
"damage_water","wetness","wetness",,
"damage_fall","fall","fall",,
"damage_drowning","drowning","drowning",,
"damage_frommaterial","damage from material: $0","damage from material: $0",,
"damage_kick","kick","kick",,
"damage_holy_mountains_curse","Holy Mountain's curse","Holy Mountain's curse",,
"stat_depth","Depth:","Depth:",,
"stat_time","Time:","Time:",,
"stat_places_visited","Places visited:","Places visited:",,
"stat_enemies_slain","Enemies slain:","Enemies slain:",,
"stat_max_hp","Max HP:","Max HP:",,
"stat_gold","Gold:","Gold:",,
"stat_items_found","Items found:","Items found:",,
"stat_orbs","Orbs collected:","Orbs collected:",,
"stat_total_deaths","Total deaths:","Total deaths:",,
"stat_total_play_time","Total play time:","Total play time:",,
"stat_total_wins","Total wins:","Total wins:",,
"stat_cause_of_death","Cause of death: '$0'","Cause of death: '$0'",,
"stat_best","(Best: $0)","(Best: $0)",,
"credits_music","With music by From Grotto and Niilo Takalainen","With music by From Grotto and Niilo Takalainen",,
"credits_sounddesign","Sound design by Niilo Takalainen","Sound design by Niilo Takalainen",,
"credits_fmod","Noita uses FMOD Studio by Firelight Technologies Pty Ltd","Noita uses FMOD Studio by Firelight Technologies Pty Ltd",,
"credits_copyright","Noita (c) Nolla Games Oy 2019","Noita (c) Nolla Games Oy 2019",,
"progress_perks","Perks","Perks",,
"progress_actions","Spells","Spells",,
"progress_secrets","Secrets","Secrets",,
"progress_enemies","Enemies","Enemies",,
"progress_unlocked","Unlocks","Unlocks",,
"progress_completed","$0 $1 secret(s) found","$0 $1 secret(s) found",,
"progress_kills","Kills: $0","Kills: $0",,
"progress_unknown","???","???",,
"progress_ending0","Discovered the secret below - ","Discovered the secret below - ",,
"progress_ending1","Discovered the secret above - ","Discovered the secret above - ",,
"progress_ending01","Discovered the secrets above and below - ","Discovered the secrets above and below - ",,
"status_wet","Wet","Wet",,
"statusdesc_wet","Wet clothes protect you from fire.","Wet clothes protect you from fire.",,
"status_oiled","Oiled ","Oiled ",,
"statusdesc_oiled","Oil makes you slippery and more flammable.","Oil makes you slippery and more flammable.",,
"status_bloody","Bloody ","Bloody ",,
"statusdesc_bloody","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.",,
"status_slimy","Slimy","Slimy",,
"statusdesc_slimy","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.",,
"status_radioactive","Toxic","Toxic",,
"statusdesc_radioactive","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.",,
"status_alcoholic","Alcoholic","Alcoholic",,
"statusdesc_alcoholic","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!",,
"status_poisoned","Poisoned","Poisoned",,
"statusdesc_poisoned","A poisoning slowly degrades your health. ","A poisoning slowly degrades your health. ",,
"status_teleportation","Teleportation","Teleportation",,
"statusdesc_teleportation","A teleport curse affects you.","A teleport curse affects you.",,
"status_hp_regeneration","Regeneration ","Regeneration ",,
"statusdesc_hp_regeneration","A health regeneration spell affects you.","A health regeneration spell affects you.",,
"status_polymorph","Polymorph","Polymorph",,
"statusdesc_polymorph","You're a sheep.","You're a sheep.",,
"status_polymorph_random","Chaos polymorph","Chaos polymorph",,
"statusdesc_polymorph_random","A polymorph curse affects you.","A polymorph curse affects you.",,
"status_berserk","Berserk","Berserk",,
"statusdesc_berserk","A berserk curse affects you.","A berserk curse affects you.",,
"status_charm","Charmed","Charmed",,
"statusdesc_charm","A charm affects you.","A charm affects you.",,
"status_invisibility","Invisible","Invisible",,
"statusdesc_invisibility","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.",,
"status_on_fire","On fire ","On fire ",,
"statusdesc_on_fire","You're on fire. Find some water!","You're on fire. Find some water!",,
"boss_limbs_limb_attacker","Spider leg","Spider leg",,
"biome_boss_arena","The Laboratory","The Laboratory",,
"biome_boss_victoryroom","The Work","The Work",,
"biome_coalmine","mines","mines",,
"biome_coalmine_alt","collapsed mines","collapsed mines",,
"biome_crypt","Temple of the Art","Temple of the Art",,
"biome_desert","Desert","Desert",,
"biome_dragoncave","Dragoncave","Dragoncave",,
