"","ukr","en","NOTES – use \n for newline","max length"
"bookdesc06","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n","doesn't need to be translated",""
"booktitle07","Smarağdova skryžalj - Tom VII","Emerald Tablet - volume VII","doesn't need to be translated",""
"bookdesc07","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","doesn't need to be translated",""
"booktitle08","Smarağdova skryžalj - Tom VIII","Emerald Tablet - volume VIII","doesn't need to be translated",""
"bookdesc08","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","doesn't need to be translated",""
"booktitle09","Smarağdova skryžalj - Tom IX","Emerald Tablet - volume IX","doesn't need to be translated",""
"bookdesc09","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","doesn't need to be translated",""
"booktitle10","Smarağdova skryžalj - Tom X ","Emerald Tablet - volume X ","doesn't need to be translated",""
"bookdesc10","Vizjmitj, kaže vin nam, zolotyj kaminj, z'jednajte joğo z ğumorom, jakyj je\n nezminnoju vodoju, postavte joğo, v posudyni svoïj, na tenditnyj voğonj,\npoky ne stanetjsja rozridžennja.\n Potim polyšte joğo, poky voda ne vysoxne,\nta zmišajte pisok z vodoju, pislja pidsyljte voğonj, poky ne vysoxne vono,\nta stane zemleju. Koly ce ğotovo, rozumijte, ŝo tut počynajetjsja arkanum.\nRobitj ce bağato raziv, poky dvi tretyny vody ne zğynutj, i javljatjsja vam koljory. ","Take, he tells us, the stone of gold, combine with humour which is\npermanent water, set in its vessel, over a gentle fire until liquefaction\ntakes place. Then leave it until the water dries, and the sand and\nwater are combined, one with another;  then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done,\nunderstand that here is the beginning of the arcanum;  but do this many times, \nuntil two-thirds of the water perish, and colours manifest unto you. ","doesn't need to be translated",""
"booktitle_corpse","Tabula Smaragdina","Tabula Smaragdina","doesn't need to be translated",""
"bookdesc_corpse","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","doesn't need to be translated",""
"booktitle_tree","Secretorum Hermetis","Secretorum Hermetis","doesn't need to be translated",""
"bookdesc_tree","Prynesennja sebe v žertvu ğonytvi za\nznannjam - najkraŝe pidnošennja boğam.","The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.","doesn't need to be translated",""
"menu_paused","PRYZUPYNENO","PAUSED","",""
"menu_continue","Prodovžyty","Continue","",""
"menu_options","Nalaštuvannja","Options","",""
"menu_stats","Statystyka","Stats","",""
"menu_progress","Proğres","Progress","",""
"menu_releasenotes","Spysok zmin","Release Notes","",""
"menu_credits","Avtory","Credits","",""
"menu_newgame","Nova ğra","New Game","",""
"menu_dailyrun","Ŝodennyj zabiğ","Daily Run","",""
"menu_saveandquit","Zbereğty ta vyjty","Save & Quit","",""
"menu_return","Povernutysj","Return","",""
"menu_applyandreturn","Zastosuvaty ta povernutysj","Apply & Return","",""
"menu_cancel","Skasuvaty","Cancel","",""
"menu_yes","Tak","Yes","",""
"menu_no","Ni","No","",""
"menu_ok","Ok","Ok","",""
"menu_high","Vysoka","High","",""
"menu_medium","Serednja","Medium","",""
"menu_low","Nyzjka","Low","",""
"option_on","Uvimk.","On","",""
"option_off","Vymk.","Off","",""
"option_adaptive","Adaptyvna","Adaptive","",""
"menu_newgame_areyousure","Vy vpevneni, ŝo xočete počaty novu ğru? Vesj proğres potočnoğo zabiğu bude vtračenyj!","Are you sure you want to start a new game? All progress from current run will be lost.","",""
"menuoptions_windowmode","Vikonnyj režym: $0","Window mode: $0","",""
"windowmode_windowed","U vikni","Windowed","",""
"windowmode_fullscreen","Povnoekrannyj (vikonnyj)","Fullscreen (windowed)","",""
"windowmode_fullscreen_real","Povnoekrannyj","Fullscreen (real)","",""
"menuoptions_resolution","Rozdiljna zdatnistj: $0","Resolution: $0","",""
"menuoptions_resolution_illegible"," - POPEREDŽENNJA: Zobražennja može buty nerozbirlyvym!"," - WARNING: Might be illegible!","",""
"menuoptions_matchresolution","Vykorystovuvaty rozdiljnu zdatnistj ekrana","Use current display's resolution","",""
"menuoptions_applydisplay","Zastosuvaty nalaštuvannja ekrana","Apply display settings","",""
"menuoptions_renderingquality","Jakistj vizualizaciï","Rendering quality","",""
"menuoptions_lowqualityrendering","Nyzjka jakistj vizualizaciï: $0","Low quality rendering: $0","",""
"menuoptions_vsync","Vertykaljna synxronizacija: $0","Vsync: $0","",""
"menuoptions_display_areyousure","Bažajete zbereğty novi nalaštuvannja vikna? Stari nalaštuvannja budutj vidnovleni čerez $0 sekund.","Do you want to keep the new display settings? Old settings will be restored in $0 seconds.","",""
"menuoptions_resetsave","Skynuty vesj proğres","Reset all progress","",""
"menuoptions_resetsave_areyousure","Vy vpevneni, ŝo xočete skynuty vesj proğres? Cja dija nezvorotna!","Are you sure you want to reset all progress? This cannot be undone!","",""
"menugameover_newgame","Nova ğra","New Game","",""
"menugameover_savereplay","Zbereğty zapys smerti","Save death replay","",""
"menugameover_quit","Vyjty","Quit","",""
"menugameover_gamecompleted","ĞRA PROJDENA!","COMPLETED THE GAME!","",""
"menugameover_nextbutton","Vy mertvi - natysnitj tut dlja statystyky","You are dead - click here for stats","",""
"menugameover_records","ZAPYSY","RECORDS","as in 'world record'",""
"menuoptions_pixelart_aa","Zğladžuvannja pikseliv: $0","Pixel art anti-aliasing: $0","",""
"menuoptions_lowres","Vidtvorennja z nyzjkoju rozdiljnoju zdatnistju: $0","Low resolution rendering: $0","",""
"menuoptions_lowres_tooltip_exp","EKSPERYMENTALJNO. Može vyklykaty neznačni zboï vidobražennja.","EXPERIMENTAL. Might cause minor rendering glitches.","",""
"menuoptions_lowres_tooltip","Polipšuje produktyvnistj renderu, ale može spryčynyty neznačni zboï vidobražennja.","Improves rendering performance, but might cause minor rendering glitches.","",""
"menuoptions_brightness","Jaskravistj","Brightness","",""
"menuoptions_contrast","Kontrastnistj","Contrast","",""
"menuoptions_gamma","Ğamma","Gamma","",""
"menuoptions_reset_keyboard","Natysnitj PKM, ŝob povernuty do počatkovyx.","Right click to reset to default.","",""
"menuoptions_reset_gamepad","Natysnitj B, ŝob skynuty do počatkovyx.","Press B to reset to default.","",""
"menuoptions_musicvolume","Ğučnistj muzyky","Music volume","",""
"menuoptions_soundsvolume","Ğučnistj zvukovyx efektiv","Sound effect volume","",""
"menuoptions_configurecontrols","Nalaštuvaty keruvannja","Configure controls","",""
"menuoptions_configurecontrols_reset_all","Vidnovyty do počatkovyx","Reset all to default","",""
"menuoptions_configurecontrols_rebind_keyboard","Natysnitj klavišu abo knopku dlja «$0»","Press the key or button for $0","",""
"menuoptions_configurecontrols_rebind_gamepad","Natysnitj knopku dlja «$0»","Press the button for $0","",""
"menuoptions_controls","Kontroler: $0","Gamepad: $0","",""
"menuoptions_mousesensitivity","Čutlyvistj myši","Mouse sensitivity","",""
"menuoptions_controls_keyboard","Myška + Klaviatura","Mouse + Keyboard","",""
"menuoptions_controls_autodetectgamepad","Avtovyznačennja","Auto-detect","",""
"menuoptions_gamepad_rumble","Intensyvnistj vibraciï kontrolera","Gamepad rumble intensity","",""
"menuoptions_ui_inventory_icons_always_clickable","Natyskannja na ikonku zminjuje predmet: $0","Click on icon switches item: $0","",""
"menuoptions_application_rendered_cursor","Iğrovyj kursor: $0","Game renders the cursor: $0","",""
"menuoptions_screenshake_intensity","Intensyvnistj tremtinnja ekrana","Screen shake intensity","",""
"menuoptions_damagenumbers","Cyfry poškodženj: $0","Damage numbers: $0","",""
"menuoptions_replayrecorder","Zapys povtoriv: $0","Replay recorder: $0","",""
"menuoptions_checkforupdates","Perevirka najavnosti onovlenj: $0","Check for updates: $0","",""
"menuoptions_language","Mova: Ukraïnsjka","Language: English","",""
"menuupdatenotification_title","DOSTUPNE ONOVLENNJA","NEW UPDATE AVAILABLE","",""
"menuupdatenotification_description_generic","Dostupna nova versija!\nNatysnitj tut, ŝob pobačyty zminy","A new build of Noita is now available!\nClick here for release notes","",""
"menureleasenotes_notavailable","Nemaje dostupnoğo spysku zmin","No release notes available","",""
"menureleasenotes_eawarning","Vitajemo v Noita!\nNoita znaxodytjsja v rannjomu dostupi.\nVona mistytj pomylky j navitj inodi može vylitaty!\nMy napoleğlyvo pracjujemo nad vypravlennjam pomylok ta dodavannjam novoğo kontentu.","Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.","PLACEHOLDER",""
"controls_up","Vğoru","up","",""
"controls_down","Vnyz","down","",""
"controls_left","Livoruč","left","",""
"controls_right","Pravoruč","right","",""
"controls_sprayflask","Lyty z fljağy","spray from potion","",""
"controls_throw","Kynuty","throw","",""
"controls_kick","Kopnuty","kick","",""
"controls_inventory","Vidkryty/zakryty inventar","open/close inventory","",""
"controls_itemnext","Nastupnyj predmet","next item","",""
"controls_itemprev","Poperednij predmet","previous item","",""
"controls_itemslot1","Vybraty predmet v komirci 1","select item in slot 1","",""
"controls_itemslot2","Vybraty predmet v komirci 2","select item in slot 2","",""
"controls_itemslot3","Vybraty predmet v komirci 3","select item in slot 3","",""
"controls_itemslot4","Vybraty predmet v komirci 4","select item in slot 4","",""
"controls_itemslot5","Vybraty predmet v komirci 5","select item in slot 5","",""
"controls_itemslot6","Vybraty predmet v komirci 6","select item in slot 6","",""
"controls_itemslot7","Vybraty predmet v komirci 7","select item in slot 7","",""
"controls_itemslot8","Vybraty predmet v komirci 8","select item in slot 8","",""
"controls_itemslot9","Vybraty predmet v komirci 9","select item in slot 9","",""
"controls_itemslot10","Vybraty predmet v komirci 10","select item in slot 10","",""
"controls_escape","Pryzupynyty/zakryty","pause/close","",""
"hud_air_unit","O2","o2","",""
"hud_air","Kysenj: $0 / $1","Air: $0 / $1","",""
"hud_health","Zdorov'ja: $0 / $1","Health: $0 / $1","",""
"hud_jetpack","Enerğija levitaciï: $0 / $1","Levitation energy: $0 / $1","",""
"hud_wand_mana","Mana palyčky: $0 / $1","Wand mana: $0 / $1","",""
"hud_wand_reload","Perezarjadžannja palyčky: $0 s","Wand recharge: $0 s","",""
"hud_gold","Zoloto: $0","Gold: $0","",""
"hud_orbs","Zibrano sfer: $0","Orbs collected: $0","",""
"hud_title_wands","PALYČKY","WANDS","",""
"hud_title_throwables","PREDMETY","ITEMS","",""
"hud_title_actionstorage","ZAKLYNANNJA","SPELLS","",""
"menu_newwand_title","NOVA PALYČKA","NEW WAND","",""
"menu_newwand_pressagain_pick","Natysnitj $0 znovu, ŝob pidibraty palyčku","Press $0 again to pick the wand","",""
"menu_newwand_pressagain_cancel","Natysnitj $0, ŝob skasuvaty","Press $0 to cancel","",""
"menu_newwand_whichwand_gamepad","JAKU PALYČKU VY XOČETE VYKYNUTY?","WHICH WAND DO YOU WANT TO DROP?","",""
"menu_newwand_whichwand_keyboard","JAKU PALYČKU VY XOČETE VYKYNUTY? (Natysnitj na neï!)","WHICH WAND DO YOU WANT TO DROP? (Click it!)","",""
"menu_newwand_emptyslot","$0 - porožnja komirka","$0 - empty slot","",""
"menu_newbook_pressagain_pick","Natysnitj $0 znovu, ŝob vybraty knyğu","Press $0 again to pick the book","",""
"menu_newbook_pressagain_close","Natysnitj $0, ŝob zakryty","Press $0 to close","",""
"item_empty","Porožnjo","Empty","",""
"item_wand","Palyčka","Wand","",""
"item_potion","Fljağa","Potion","",""
"item_cocktail","Koktejlj","Cocktail","",""
"item_orb","Sfera","Orb","",""
"item_description_potion","Sporjadyty ta kynuty","Equip and throw","",""
"item_description_egg","Sporjadyty ta kynuty","Equip and throw","",""
"item_potion_with_material","$0 v fljazi ","$0 potion","",""
"item_potion_fullness"," ($0% napovnenosti)"," ($0% full)","",""
"item_potion_empty","Porožnja","Empty","",""
"item_egg","Jajce","Egg","",""
"item_chest_treasure","Skrynjka skarbiv","Treasure chest","",""
"item_goldnugget","Zolotyj samorodok","Gold nugget","",""
"item_heart","Dodatkove maksymaljne zdorov’ja","Extra max HP","",""
"item_heart_better","Velyke dodatkove maksymaljne zdorov’ja","Large extra max HP","",""
"item_heart_fullhp","Povne vidnovlennja zdorov’ja","Full health regeneration","",""
"item_unidentified","Nevidomyj predmet","Unidentified item","",""
"itempickup_notenoughgold","Nedostatnjo zolota dlja prydbannja «$0»","Not enough gold to purchase '$0'","",""
"itempickup_purchase","Natysnitj $0, ŝob prydbaty «$1»","Press $0 to purchase '$1'","",""
"itempickup_pick","Natysnitj $0, ŝob pidibraty «$1»","Press $0 to pick '$1'","",""
"itempickup_read","Natysnitj $0, ŝob pročytaty «$1»","Press $0 to read '$1'","",""
"itempickup_purchase_swap","Natysny $0, ŝob prydbaty «$1» i pominjaty predmet z nym","Press $0 to purchase '$1' and swap an item with it","",""
"itempickup_pick_swap","Natysnitj $0, ŝob zaminyty predmet na «$1»","Press $0 to swap an item with '$1'","",""
"itempickup_cannotpick","Nemožlyvo pidnjaty «$0». Budj laska, pozbudjtesj predmeta, ŝob zviljnyty misce dlja njoğo","Cannot pick '$0'. Please get rid of an item to make space for it","",""
"itempickup_cannotpick_closeinventory","Zakryjte inventar, ŝob pidnjaty «$0»","Close the inventory first to pick '$0'","",""
"hint_editwands","Natysnitj $0, ŝob redağuvaty palyčky","Press $0 to tinker with wands","",""
"hint_endingmcguffin_use","Natysny $0, ŝob zaveršyty Tvir","Press $0 to complete the Work","",""
"log_pickedup_perk","$0 ","$0 ","",""
"log_pickedup","Vy pidibraly: $0","Picked up $0","",""
"log_equipped","Sporjadženo: $0","Equipped $0","",""
"log_entered","Vy uvijšly do $0","Entered $0","",""
"log_damage","Škoda: $0","Damage: $0","",""
"log_death","Smerti: $0","Death: $0","",""
"log_teleported","Teleportacija!","Teleported!","",""
"log_teleported_something","Ŝosj uvijšlo v teleport nepodalik","Something entered a teleport nearby","",""
"log_gamefx_savinggrace","Rjativna blağodatj vrjatuvala vas!","Saving Grace saved you!","",""
"log_gamefx_respawn","U vas je ŝe odyn šans!","You get one more chance!","",""
"logdesc_gamefx_respawn","Dodatkove žyttja vrjatuvalo vas","Extra life saved you","",""
"log_recharging","PEREZARJADŽANNJA...","RECHARGING..","",""
"log_blindness","Tymčasove osliplennja!","Temporarily blinded!","",""
"log_polymorph","Peretvorennja!","Polymorphed!","",""
"log_block_attack","ZABLOKOVANO","BLOCK","",""
"log_coop_resurrected","VIDRODŽENNJA","RESURRECTED","",""
"log_coop_resurrected_player","Vidrodyv ğravcja $0!","Resurrected player $0!","",""
"log_coop_partner_is_dead","Partner pomer!","Partner is dead!","",""
"log_coop_started","KOOPERATYV!","CO-OP!","",""
"log_chest","Vidčynena skrynjka skarbiv!","Opened a treasure chest!","",""
"logdesc_chest_gold","Otrymano $0 zolota!","You got $0 gold!","",""
"log_heart","Vy pidibraly dodatkove maks. zdorov'ja","Picked up Extra Max Health","",""
"logdesc_heart","Maksymaljne zdorov’ja zbiljšeno do $0","Increased maximum health to $0","",""
"logdesc_heart_blocked","Maksymaljne zdorov’ja zbiljšeno do $0 ...ale jakoğosj rodu prokljattja blokuje zbiljšennja maksymaljnoğo zdorov’ja!","Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!","",""
"log_heart_better","Vy pidibraly dodatkove maks. zdorov'ja","Picked up Extra Max Health","",""
"logdesc_heart_better","Maksymaljne zdorov’ja zbiljšeno do $0","Increased maximum health to $0","",""
"log_heart_fullhp","Vy pidibraly povne vidnovlennja zdorov’ja","Picked up Full Health Regeneration","",""
"log_discovered","Doslidženo $0","You have discovered $0","",""
"inventory_sort","Sortuvannja","Sort","",""
"inventory_shuffle","Tasuvannja","Shuffle","",""
"inventory_shuffle_tooltip","Palyčky z tasuvannjam čaklujutj svoï zaklynannja u vypadkovomu porjadku.","Wands that shuffle cast their spells in random order.","",""
"inventory_actionspercast","Zaklynanj za raz","Spells/Cast","",""
"inventory_actionspercast_tooltip","Kiljkistj zaklynanj, jaku palyčka čakluje pry vykorystanni.","The number of spells this wand casts when used.","",""
"inventory_castdelay","Zatrymka čakluvannja","Cast delay","",""
"inventory_castdelay_tooltip","Čas miž zaklynannjamy.","The time between casts.","",""
"inventory_rechargetime","Perezarjadžannja","Rechrg. Time","",""
"inventory_rechargetime_tooltip","Čas jakyj zajmaje perezarjadžannja vsix zaklynanj pislja toğo, jak vony buly vykorystani.","The time it takes for this wand to recharge when all spells inside it have been cast.","",""
"inventory_manamax","Maksymum many","Mana max","",""
"inventory_manamax_tooltip","Maksymaljna kiljkistj many, jaku može zberiğaty cja palyčka.","Maximum amount of mana this wand can store.","",""
"inventory_manachargespeed","Vidnovlennja many","Mana chg. Spd","",""
"inventory_manachargespeed_tooltip","Švydkistj vidnovlennja many v palyčci.","This wand's mana regeneration speed.","",""
"inventory_capacity","Mistkistj","Capacity","",""
"inventory_capacity_tooltip","Kiljkistj zaklynanj, ŝo može mistyty cja palyčka.","The number of spells that can be inserted into this wand.","",""
"inventory_spread","Vidxyl","Spread","",""
"inventory_spread_tooltip","Možlyve vidxylennja snarjadiv cijeï palyčky vid naprjamu vykorystannja.","The directional deviation of projectiles casted by this wand.","",""
"inventory_chargecapacity","Zapas zarjadu","Charge capacity","",""
"inventory_alwayscasts","Zavždy vykorystovuje","Always casts","",""
"inventory_alwayscasts_description","Cja palyčka aktyvuje dejaki zaklynannja pry kožnomu vykorystanni.","This wand casts some spells every time it's used.","",""
"inventory_usesremaining","Zarjadiv","Uses remaining","",""
"inventory_actiontype","Typ","Type","",""
"inventory_manadrain","Vytrata many","Mana drain","",""
"inventory_damage","Škoda","Damage","",""
"inventory_dmg_explosion","Škoda vybuxu","Dmg. Expl","",""
"inventory_explosion_radius","Radius vybuxu","Expl. Radius","",""
"inventory_dmg_slice","Škoda rozrizu","Dmg. Slice","",""
"inventory_dmg_drill","Škoda burinnja","Dmg. Drill","",""
"inventory_dmg_fire","Škoda voğnju","Dmg. Fire","",""
"inventory_dmg_ice","Škoda ljodu","Dmg. Ice","",""
"inventory_speed","Švydkistj","Speed","",""
"inventory_mod_castdelay","Zatrymka čakluvannja","Cast delay","",""
"inventory_mod_rechargetime","Perezarjadžannja","Recharge time","",""
"inventory_mod_bounces","Vidskokiv","Bounces","",""
"inventory_mod_speed","Švydkistj snarjada","Proj. Speed","",""
"inventory_mod_explosion_radius","Radius vybuxu","Expl. Radius","",""
"inventory_mod_spread","Rozkyd","Spread","",""
"inventory_mod_knockback","Vidštovxuvannja","Knockback","",""
"inventory_mod_damage","Poškodžennja","Damage","",""
"inventory_mod_damage_melee","Blyžnja škoda","Dmg. Melee","",""
"inventory_mod_damage_electric","Škoda elektryky","Dmg. Electric","",""
"inventory_mod_damage_fire","Škoda voğnju","Dmg. Fire","",""
"inventory_mod_damage_explosion","Škoda vybuxiv","Dmg. Expl","",""
"inventory_mod_critchance","Šans kryta","Crit. Chance","",""
"inventory_warning_noactions","UVAĞA — Cja palyčka ne mistytj zaklynanj","WARNING - This wand contains no spells","",""
"inventory_warning_noactions_description","Palyčka ničoğo ne robytj. Pomistitj kiljka zaklynanj v komirky palyčky.","The wand doesn't do anything. Place some spells into the wand's slots.","",""
"inventory_warning_notenoughmana","UVAĞA — U cijeï palyčky nedostatnjo many dlja «$0»","WARNING - This wand doesn't have enough mana for $0","",""
"inventory_warning_notenoughmana_description","Palyčka maje maksymum $0 many. Vykorystannja «$1» potrebuje $2 many.","Wand has max $0 mana. Casting $1 requires $2 mana.","",""
"inventory_info_frozen","INFO — Cja palyčka bula zamorožena","INFO - This wand has been frozen","",""
"inventory_info_frozen_description","Zaklynannja zapobiğaje nalaštuvannju palyčky.","A spell prevents the wand from being customized.","",""
"inventory_seconds","$0 s","$0 s","",""
"inventory_degrees","$0 ğradusiv","$0 DEG","",""
"inventory_actiontype_projectile","Snarjad","Projectile","",""
"inventory_actiontype_staticprojectile","Statyčnyj snarjad","Static proj.","",""
"inventory_actiontype_modifier","Modyfikator snarjada","Proj. modifier","",""
"inventory_actiontype_drawmany","Muljtyzaklynannja","Multicast","",""
"inventory_actiontype_material","Material","Material","",""
"inventory_actiontype_other","Inše","Other","",""
"inventory_actiontype_utility","Dopomižne","Utility","",""
"inventory_actiontype_passive","Pasyvne","Passive","",""
"item_spell_refresh","Vidnovlennja zaklynanj","Spell refresher","",""
"itemtitle_spell_refresh","Vy pidibraly vidnovlennja zaklynanj","Picked up Spell refresher","",""
"itemdesc_spell_refresh","Vsi zaklynannja vidnovleni","All spells refreshed","",""
"itemtitle_wand_pickup","Vy pidibraly novu čarivnu palyčku","Picked up a new magic wand","",""
"itemtitle_chest_open","Vidkryta skrynjka skarbiv!","Opened a treasure chest!","",""
"itemtitle_chest_broken_open","Skrynjka skarbiv bula rozbyta","A chest was broken open","",""
"log_endcrystal","Vy torknulysja prokljatoğo krystalu!","Touched the cursed crystal!","",""
"logdesc_endcrystal","Ŝosj vorušytjsja nad vamy","Something stirs above you","",""
"logdesc_temple_spawn_guardian","Vy rozljutyly boğiv","You have angered the Gods","",""
"logdesc_gods_are_angry","Vy rozljutyly boğiv","You have angered the Gods","",""
"logdesc_gods_are_very_angry","Boğy duže ğnivajutjsja na vas","The Gods are very angry with you","",""
"damage_projectile","snarjad","projectile","",""
"damage_electricity","elektryka","electricity","",""
"damage_explosion","vybux","explosion","",""
"damage_fire","voğonj","fire","",""
"damage_melee","blyžnij bij","melee","",""
"damage_drill","sverdlinnja","drill","",""
"damage_slice","rizannja","slice","",""
"damage_ice","lid","ice","",""
"damage_healing","zcilennja","healing","",""
"damage_physicshit","syljnyj udar","physics hit","",""
"damage_radioactive","toksyny","toxic","",""
"damage_poison","otruta","poison","",""
"damage_water","namokannja","wetness","",""
"damage_fall","padinnja","fall","",""
"damage_drowning","utoplennja","drowning","",""
"damage_frommaterial","škoda vid materialu: $0","damage from material: $0","",""
"damage_kick","kopnjak","kick","",""
"damage_holy_mountains_curse","Prokljattja Svjatoï Ğory","Holy Mountain's curse","",""
"stat_depth","Ğlybyna:","Depth:","",""
